"AnimalID","Sex","BirthDate","OriginalGroup","IsolationDate","PairingDate","ExperimentalGroup","ExperimentalUnit","Treatment","Age","BS_Original","FirstParturitionDate","ParturitionColony","BS_Final","EvictionDate","EvictionStatus","BS_Original2","EvictionStatus2","BS_PlotCategory","PartnerID","PartnerAge","AgeDiff","AgeDiff_Cat"
"WAF041","F",2020-02-21,"Watson",2022-03-31,2022-04-28,"BlueMoon",6,"Sub",769,"Helper",2022-08-04,"BlueMoon","Breeder",2022-05-01,"Evictor","Helper","Evictor","Sub_S","WAF045",570,199,"Older"
"WAF045","F",2020-09-07,"Watson",2022-03-31,2022-04-28,"BlueMoon",6,"Sub",570,"Helper",NA,NA,"NonBreeder",2022-05-01,"Evictee","Helper","Evictee","Sub_S","WAF041",769,-199,"Younger"
"WEF005","F",2016-04-22,"PlakaPlaka",2022-03-31,2022-04-28,"Chouffe",7,"Queen",2169,"Breeder",NA,NA,"NonBreeder",2022-04-29,"Evictee","Breeder","Evictee","Breeder","PPF008",740,1429,"Older"
"PPF008","F",2020-03-21,"PlakaPlaka",2022-03-31,2022-04-28,"Chouffe",7,"Queen",740,"Helper",2022-09-16,"Chouffe","Breeder",2022-04-29,"Evictor","Helper","Evictor","Sub_Q","WEF005",2169,-1429,"Younger"
"PPF007","F",2020-03-21,"PlakaPlaka",2022-03-31,2022-04-28,"Delirium",8,"Sub",740,"Helper",2022-08-06,"Delirium","Breeder",2022-04-29,"Evictor","Helper","Evictor","Sub_S","PPF009",597,143,"Older"
"PPF009","F",2020-08-11,"PlakaPlaka",2022-03-31,2022-04-28,"Delirium",8,"Sub",597,"Helper",NA,NA,"NonBreeder",2022-04-29,"Evictee","Helper","Evictee","Sub_S","PPF007",740,-143,"Younger"
"ARF028","F",2017-06-15,"Shorny",2022-05-06,2022-06-03,"Corbeau",9,"Queen",1786,"Breeder",2022-09-09,"Corbeau","Breeder",2023-01-16,"Evictee","Breeder","Evictee","Breeder","SOF001",818,968,"Older"
"SOF001","F",2020-02-08,"Shorny",2022-05-06,2022-06-03,"Corbeau",9,"Queen",818,"Helper",NA,NA,"NonBreeder",2023-01-16,"Evictor","Helper","Evictor","Sub_Q","ARF028",1786,-968,"Younger"
"SOF002","F",2020-02-08,"Shorny",2022-05-06,2022-06-03,"Firestone",10,"Sub",818,"Helper",NA,NA,"NonBreeder",2022-06-07,"Evictee","Helper","Evictee","Sub_S","SOF006",661,157,"Older"
"SOF006","F",2020-07-14,"Shorny",2022-05-06,2022-06-03,"Firestone",10,"Sub",661,"Helper",NA,NA,"NonBreeder",2022-06-07,"Evictor","Helper","Evictor","Sub_S","SOF002",818,-157,"Younger"
"DRF015","F",2017-07-28,"Roms",2022-05-06,2022-06-03,"Guinness",11,"Queen",1743,"Breeder",2022-10-02,"Guinness","Breeder",2022-10-14,"Evictee","Breeder","Evictee","Breeder","RSF008",652,1091,"Older"
"RSF008","F",2020-07-23,"Roms",2022-05-06,2022-06-03,"Guinness",11,"Queen",652,"Helper",NA,NA,"NonBreeder",2022-10-14,"Evictor","Helper","Evictor","Sub_Q","DRF015",1743,-1091,"Younger"
"GOF035","F",2020-02-22,"Goodall",2022-05-06,2022-06-03,"Hoodoo",12,"Sub",804,"Helper",2022-09-07,"Hoodoo","Breeder",2022-06-08,"Evictor","Helper","Evictor","Sub_S","GOF040",574,230,"Older"
"GOF040","F",2020-10-09,"Goodall",2022-05-06,2022-06-03,"Hoodoo",12,"Sub",574,"Helper",NA,NA,"NonBreeder",2022-06-08,"Evictee","Helper","Evictee","Sub_S","GOF035",804,-230,"Younger"
"WAF002","F",2013-11-23,"DaVinci",2022-07-18,2022-08-15,"Angol",14,"Queen",3159,"Breeder",2022-11-24,"Angol","Breeder",2022-08-16,"Evictor","Breeder","Evictor","Breeder","DVF047",1314,1845,"Older"
"DVF047","F",2018-12-12,"DaVinci",2022-07-18,2022-08-15,"Angol",14,"Queen",1314,"Helper",NA,NA,"NonBreeder",2022-08-16,"Evictee","Helper","Evictee","Sub_Q","WAF002",3159,-1845,"Younger"
"DVF048","F",2018-12-12,"DaVinci",2022-07-18,2022-08-15,"DevilsPeak",15,"Sub",1314,"Helper",2022-12-11,"DevilsPeak","Breeder",NA,"InGroup","Helper","InGroup","Sub_S","DVF061",899,415,"Older"
"DVF061","F",2020-01-31,"DaVinci",2022-07-18,2022-08-15,"DevilsPeak",15,"Sub",899,"Helper",NA,NA,"NonBreeder",NA,"InGroup","Helper","InGroup","Sub_S","DVF048",1314,-415,"Younger"
"MIF012","F",2020-07-18,"Milou",2022-07-18,2022-08-15,"DjuDju",16,"Sub",730,"Helper",NA,NA,"NonBreeder",2022-08-16,"Evictee","Helper","Evictee","Sub_S","MIF016",617,113,"Older"
"MIF016","F",2020-11-08,"Milou",2022-07-18,2022-08-15,"DjuDju",16,"Sub",617,"Helper",2022-11-23,"DjuDju","Breeder",2022-08-16,"Evictor","Helper","Evictor","Sub_S","MIF012",730,-113,"Younger"
"TSF048","F",2017-08-22,"Milou",2022-07-18,2022-08-15,"Stella",17,"Queen",1791,"Breeder",2022-11-17,"Stella","Breeder",2022-08-16,"Evictor","Breeder","Evictor","Breeder","MIF008",882,909,"Older"
"MIF008","F",2020-02-17,"Milou",2022-07-18,2022-08-15,"Stella",17,"Queen",882,"Helper",NA,NA,"NonBreeder",2022-08-16,"Evictee","Helper","Evictee","Sub_Q","TSF048",1791,-909,"Younger"
"DRF004","F",2016-06-28,"Marabou",2023-02-03,2023-03-02,"Bitburger",18,"Queen",2411,"Breeder",NA,NA,"NonBreeder",2023-03-04,"Evictee","Breeder","Evictee","Breeder","MBF004",811,1600,"Older"
"MBF004","F",2020-11-14,"Marabou",2023-02-03,2023-03-02,"Bitburger",18,"Queen",811,"Helper",NA,NA,"NonBreeder",2023-03-04,"Evictor","Helper","Evictor","Sub_Q","DRF004",2411,-1600,"Younger"
"GOF025","F",2018-07-31,"Amobo",2023-02-03,2023-03-02,"Corona",19,"Queen",1648,"Breeder",NA,NA,"NonBreeder",2023-03-03,"Evictee","Breeder","Evictee","Breeder","ABF002",591,1057,"Older"
"ABF002","F",2021-06-22,"Amobo",2023-02-03,2023-03-02,"Corona",19,"Queen",591,"Helper",NA,NA,"NonBreeder",2023-03-03,"Evictor","Helper","Evictor","Sub_Q","GOF025",1648,-1057,"Younger"
"MBF003","F",2020-06-09,"Marabou",2023-02-03,2023-03-02,"GhostShip",20,"Sub",969,"Helper",NA,NA,"NonBreeder",2023-03-10,"Evictor","Helper","Evictor","Sub_S","MBF006",686,283,"Older"
"MBF006","F",2021-03-19,"Marabou",2023-02-03,2023-03-02,"GhostShip",20,"Sub",686,"Helper",NA,NA,"NonBreeder",2023-03-10,"Evictee","Helper","Evictee","Sub_S","MBF003",969,-283,"Younger"
"ORF005","F",2020-02-10,"Orycterope",2023-02-03,2023-03-02,"Kasteel",13,"Sub",1089,"Helper",NA,NA,"NonBreeder",2023-03-08,"Evictor","Helper","Evictor","Sub_S","ORF018",618,471,"Older"
"ORF018","F",2021-05-26,"Orycterope",2023-02-03,2023-03-02,"Kasteel",13,"Sub",618,"Helper",NA,NA,"NonBreeder",2023-03-08,"Evictee","Helper","Evictee","Sub_S","ORF005",1089,-471,"Younger"
"VGF002","F",2017-04-21,"Orycterope",2023-02-03,2023-03-02,"WicklowWolf",21,"Queen",2114,"Breeder",NA,NA,"NonBreeder",NA,"InGroup","Breeder","InGroup","Breeder","ORF017",780,1334,"Older"
"ORF017","F",2020-12-15,"Orycterope",2023-02-03,2023-03-02,"WicklowWolf",21,"Queen",780,"Helper",NA,NA,"NonBreeder",NA,"InGroup","Helper","InGroup","Sub_Q","VGF002",2114,-1334,"Younger"
