"AnimalID","Sex","BirthDate","OriginalGroup","IsolationDate","PairingDate","ExperimentalGroup","ExperimentalUnit","Treatment","Age","BS_Original","FirstParturitionDate","ParturitionColony","BS_Final","EvictionDate","EvictionStatus"
"MIF008","F",2020-02-17,"Milou",2022-07-18,2022-08-15,"Stella",17,"Queen",882,"Helper",NA,NA,"NonBreeder",2022-08-16,"Evictee"
"FAM003","M",2014-12-15,"DaVinci",2022-04-04,2022-08-15,"Stella",17,"Queen",2667,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"DRF004","F",2016-06-28,"Marabou",2023-02-03,2023-03-02,"Bitburger",18,"Queen",2411,"Breeder",NA,NA,"NonBreeder",2023-03-04,"Evictee"
"MBF004","F",2020-11-14,"Marabou",2023-02-03,2023-03-02,"Bitburger",18,"Queen",811,"Helper",NA,NA,"NonBreeder",2023-03-04,"Evictor"
"G10M034","M",2015-04-07,"Orycterope",2022-12-16,2023-03-02,"Bitburger",18,"Queen",2810,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"GOF025","F",2018-07-31,"Amobo",2023-02-03,2023-03-02,"Corona",19,"Queen",1648,"Breeder",NA,NA,"NonBreeder",2023-03-03,"Evictee"
"ABF002","F",2021-06-22,"Amobo",2023-02-03,2023-03-02,"Corona",19,"Queen",591,"Helper",NA,NA,"NonBreeder",2023-03-03,"Evictor"
"MOM001","M",2015-06-13,"Marabou",2022-12-16,2023-03-02,"Corona",19,"Queen",2743,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"DRM006","M",2016-12-02,"PlakaPlaka",2023-03-02,2023-03-02,"Firestone",10,"Sub",2281,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"DRM006","M",2016-12-02,"Firestone",2023-03-02,2023-03-02,"Firestone",10,"Sub",2281,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"MBF003","F",2020-06-09,"Marabou",2023-02-03,2023-03-02,"GhostShip",20,"Sub",969,"Helper",NA,NA,"NonBreeder",2023-03-10,"Evictor"
"MBF006","F",2021-03-19,"Marabou",2023-02-03,2023-03-02,"GhostShip",20,"Sub",686,"Helper",NA,NA,"NonBreeder",2023-03-10,"Evictee"
"GOM013","M",2017-01-12,"Goodall",2023-01-12,2023-03-02,"GhostShip",20,"Sub",2191,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"ORF005","F",2020-02-10,"Orycterope",2023-02-03,2023-03-02,"Kasteel",13,"Sub",1089,"Helper",NA,NA,"NonBreeder",2023-03-08,"Evictor"
"ORF018","F",2021-05-26,"Orycterope",2023-02-03,2023-03-02,"Kasteel",13,"Sub",618,"Helper",NA,NA,"NonBreeder",2023-03-08,"Evictee"
"DRM006","M",2016-12-02,"PlakaPlaka",2023-03-02,2023-03-02,"Kasteel",13,"Sub",2281,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"DRM006","M",2016-12-02,"Firestone",2023-03-02,2023-03-02,"Kasteel",13,"Sub",2281,"Breeder",NA,NA,"Breeder",NA,"InGroup"
"VGF002","F",2017-04-21,"Orycterope",2023-02-03,2023-03-02,"WicklowWolf",21,"Queen",2114,"Breeder",NA,NA,"NonBreeder",NA,"InGroup"
"ORF017","F",2020-12-15,"Orycterope",2023-02-03,2023-03-02,"WicklowWolf",21,"Queen",780,"Helper",NA,NA,"NonBreeder",NA,"InGroup"
"MAM022","M",2017-10-05,"Gemsbok 4",2022-12-28,2023-03-02,"WicklowWolf",21,"Queen",1910,"Breeder",NA,NA,"Breeder",NA,"InGroup"
