"AnimalID","Sex","BirthDate","OriginalGroup","IsolationDate","PairingDate","DeathDate","LastDate","ExperimentalGroup","ExperimentalUnit","Treatment","Age","BS_Original","FirstDCParturitionDate","ParturitionColony","ConceptionDate","BS_Final","EvictionDate","EvictionStatus","ConceptionCategory","Eviction_GS","BS_Original2","EvictionStatus2","IsolationPeriod","EvictionPairingDayDiff","ConceptionPairingDayDiff","ConceptionEvictionDayDiff","ParturitionPairingDayDiff","ParturitionEvictionDayDiff","EvictionCategory"
"KBF006","F",2020-08-28,"Kori",2022-01-18,2022-02-15,NA,2024-02-06,"Tusker",4,"Queen",508,"Helper",2022-05-23,"Tusker",2022-02-24,"Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",28,NA,9,NA,97,NA,NA
"DVM009","M",2016-05-26,"RuRu",2021-12-23,2022-02-15,NA,2024-02-06,"Tusker",4,"Queen",2037,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",54,NA,NA,NA,NA,NA,NA
"Z3F043","F",2017-01-06,"The Maags",2022-03-31,2022-04-28,2023-02-27,2023-02-27,"BlackLabel",5,"Queen",1910,"Breeder",2022-10-20,"BLT001",2022-07-24,"Breeder",2022-09-27,"Evictee","Conceived","ThirdTrimester","Breeder","Evictee",28,152,87,-65,175,23,"Late"
"TMF002","F",2020-03-22,"The Maags",2022-03-31,2022-04-28,2023-12-02,2023-12-02,"BlackLabel",5,"Queen",739,"Helper",2022-12-26,"BlackLabel",2022-09-29,"Breeder",2022-09-27,"Evictor","NotConceived","Conception","Helper","Evictor",28,152,154,2,242,90,"Late"
"DVM010","M",2016-05-26,"DaVinci",2022-03-14,2022-04-28,2024-01-22,2024-01-22,"BlackLabel",5,"Queen",2118,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",45,NA,NA,NA,NA,NA,NA
"WAF041","F",2020-02-21,"Watson",2022-03-31,2022-04-28,2023-03-29,2023-03-29,"BlueMoon",6,"Sub",769,"Helper",2022-08-04,"BlueMoon",2022-05-08,"Breeder",2022-05-01,"Evictor","NotConceived","Conception","Helper","Evictor",28,3,10,7,98,95,"Early"
"WAF045","F",2020-09-07,"Watson",2022-03-31,2022-04-28,2023-02-27,2023-02-27,"BlueMoon",6,"Sub",570,"Helper",NA,NA,NA,"NonBreeder",2022-05-01,"Evictee","NotConceived",NA,"Helper","Evictee",28,3,NA,NA,NA,NA,"Early"
"COM009","M",2016-11-15,"The Maags",2022-01-13,2022-04-28,2023-03-29,2023-03-29,"BlueMoon",6,"Sub",1885,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",105,NA,NA,NA,NA,NA,NA
"WEF005","F",2016-04-22,"PlakaPlaka",2022-03-31,2022-04-28,2023-02-27,2023-02-27,"Chouffe",7,"Queen",2169,"Breeder",NA,NA,NA,"NonBreeder",2022-04-29,"Evictee","NotConceived",NA,"Breeder","Evictee",28,1,NA,NA,NA,NA,"Early"
"PPF008","F",2020-03-21,"PlakaPlaka",2022-03-31,2022-04-28,2023-05-08,2023-05-08,"Chouffe",7,"Queen",740,"Helper",2022-09-16,"Chouffe",2022-06-20,"Breeder",2022-04-29,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",28,1,53,52,141,140,"Early"
"DVM006","M",2016-01-03,"DaVinci",2022-03-14,2022-04-28,2023-05-08,2023-05-08,"Chouffe",7,"Queen",2262,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",45,NA,NA,NA,NA,NA,NA
"PPF007","F",2020-03-21,"PlakaPlaka",2022-03-31,2022-04-28,2023-04-05,2023-04-05,"Delirium",8,"Sub",740,"Helper",2022-08-06,"Delirium",2022-05-10,"Breeder",2022-04-29,"Evictor","NotConceived","Conception","Helper","Evictor",28,1,12,11,100,99,"Early"
"PPF009","F",2020-08-11,"PlakaPlaka",2022-03-31,2022-04-28,2022-06-16,2022-06-16,"Delirium",8,"Sub",597,"Helper",NA,NA,NA,"NonBreeder",2022-04-29,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Early"
"ARF028","F",2017-06-15,"Shorny",2022-05-06,2022-06-03,2023-01-17,2023-01-17,"Corbeau",9,"Queen",1786,"Breeder",2022-09-09,"Corbeau",2022-06-13,"Breeder",2023-01-16,"Evictee","Conceived",NA,"Breeder","Evictee",28,227,10,-217,98,-129,"Late"
"SOF001","F",2020-02-08,"Shorny",2022-05-06,2022-06-03,NA,2024-02-06,"Corbeau",9,"Queen",818,"Helper",2023-05-25,"Corbeau",2023-02-26,"Breeder",2023-01-16,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",28,227,268,41,356,129,"Late"
"PPM004","M",2019-08-03,"PlakaPlaka",2022-03-14,2022-06-03,NA,2024-02-06,"Corbeau",9,"Queen",954,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",81,NA,NA,NA,NA,NA,NA
"SOF002","F",2020-02-08,"Shorny",2022-05-06,2022-06-03,2023-02-27,2023-02-27,"Firestone",10,"Sub",818,"Helper",NA,NA,NA,"NonBreeder",2022-06-07,"Evictee","NotConceived",NA,"Helper","Evictee",28,4,NA,NA,NA,NA,"Early"
"SOF006","F",2020-07-14,"Shorny",2022-05-06,2022-06-03,2022-12-20,2022-12-20,"Firestone",10,"Sub",661,"Helper",NA,NA,NA,"NonBreeder",2022-06-07,"Evictor","NotConceived",NA,"Helper","Evictor",28,4,NA,NA,NA,NA,"Early"
"DRM006","M",2016-12-02,"PlakaPlaka",2023-03-02,2022-06-03,2023-12-18,2023-12-18,"Firestone",10,"Sub",2281,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",-272,NA,NA,NA,NA,NA,NA
"DRM006","M",2016-12-02,"Firestone",2023-03-02,2022-06-03,2023-12-18,2023-12-18,"Firestone",10,"Sub",2281,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",-272,NA,NA,NA,NA,NA,NA
"DRF015","F",2017-07-28,"Roms",2022-05-06,2022-06-03,2023-05-10,2023-05-10,"Guinness",11,"Queen",1743,"Breeder",2022-10-02,"Guinness",2022-07-06,"Breeder",2022-10-14,"Evictee","Conceived",NA,"Breeder","Evictee",28,133,33,-100,121,-12,"Late"
"RSF008","F",2020-07-23,"Roms",2022-05-06,2022-06-03,2023-11-28,2023-11-28,"Guinness",11,"Queen",652,"Helper",2023-05-09,"Guinness",2023-02-10,"Breeder",2022-10-14,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",28,133,252,119,340,207,"Late"
"BEM007","M",2014-11-09,"Shorny",2022-03-03,2022-06-03,2023-11-28,2023-11-28,"Guinness",11,"Queen",2671,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",92,NA,NA,NA,NA,NA,NA
"GOF035","F",2020-02-22,"Goodall",2022-05-06,2022-06-03,2023-05-04,2023-05-04,"Hoodoo",12,"Sub",804,"Helper",2022-09-07,"Hoodoo",2022-06-11,"Breeder",2022-06-08,"Evictor","NotConceived","Conception","Helper","Evictor",28,5,8,3,96,91,"Early"
"GOF040","F",2020-10-09,"Goodall",2022-05-06,2022-06-03,2023-02-27,2023-02-27,"Hoodoo",12,"Sub",574,"Helper",NA,NA,NA,"NonBreeder",2022-06-08,"Evictee","NotConceived",NA,"Helper","Evictee",28,5,NA,NA,NA,NA,"Early"
"LAM015","M",2017-04-22,"Roms",2022-03-03,2022-06-03,2023-05-04,2023-05-04,"Hoodoo",12,"Sub",1776,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",92,NA,NA,NA,NA,NA,NA
"DRM006","M",2016-12-02,"PlakaPlaka",2023-03-02,2022-06-03,2023-12-18,2023-12-18,"Kasteel",13,"Sub",2281,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",-272,NA,NA,NA,NA,NA,NA
"DRM006","M",2016-12-02,"Firestone",2023-03-02,2022-06-03,2023-12-18,2023-12-18,"Kasteel",13,"Sub",2281,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",-272,NA,NA,NA,NA,NA,NA
"WAF002","F",2013-11-23,"DaVinci",2022-07-18,2022-08-15,2023-10-19,2023-10-19,"Angol",14,"Queen",3159,"Breeder",2022-11-24,"Angol",2022-08-28,"Breeder",2022-08-16,"Evictor","NotConceived","Conception","Breeder","Evictor",28,1,13,12,101,100,"Early"
"DVF047","F",2018-12-12,"DaVinci",2022-07-18,2022-08-15,2023-02-27,2023-02-27,"Angol",14,"Queen",1314,"Helper",NA,NA,NA,"NonBreeder",2022-08-16,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Early"
"MIM003","M",2019-04-29,"Milou",2022-04-04,2022-08-15,2023-10-19,2023-10-19,"Angol",14,"Queen",1071,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",133,NA,NA,NA,NA,NA,NA
"DVF048","F",2018-12-12,"DaVinci",2022-07-18,2022-08-15,2023-05-11,2023-05-11,"DevilsPeak",15,"Sub",1314,"Helper",2022-12-11,"DevilsPeak",2022-09-14,"Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",28,NA,30,NA,118,NA,NA
"DVF061","F",2020-01-31,"DaVinci",2022-07-18,2022-08-15,NA,2024-02-06,"DevilsPeak",15,"Sub",899,"Helper",2023-10-30,"DevilsPeak",2023-08-03,"Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",28,NA,353,NA,441,NA,NA
"G10M033","M",2015-04-07,"Milou",2022-04-04,2022-08-15,NA,2024-02-06,"DevilsPeak",15,"Sub",2554,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",133,NA,NA,NA,NA,NA,NA
"MIF012","F",2020-07-18,"Milou",2022-07-18,2022-08-15,2023-02-27,2023-02-27,"DjuDju",16,"Sub",730,"Helper",NA,NA,NA,"NonBreeder",2022-08-16,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Early"
"MIF016","F",2020-11-08,"Milou",2022-07-18,2022-08-15,2023-05-08,2023-05-08,"DjuDju",16,"Sub",617,"Helper",2022-11-23,"DjuDju",2022-08-27,"Breeder",2022-08-16,"Evictor","NotConceived","Conception","Helper","Evictor",28,1,12,11,100,99,"Early"
"DVM021","M",2017-01-19,"DaVinci",2022-04-04,2022-08-15,2023-05-08,2023-05-08,"DjuDju",16,"Sub",1901,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",133,NA,NA,NA,NA,NA,NA
"TSF048","F",2017-08-22,"Milou",2022-07-18,2022-08-15,NA,2024-02-06,"Stella",17,"Queen",1791,"Breeder",2022-11-17,"Stella",2022-08-21,"Breeder",2022-08-16,"Evictor","NotConceived","Conception","Breeder","Evictor",28,1,6,5,94,93,"Early"
"MIF008","F",2020-02-17,"Milou",2022-07-18,2022-08-15,2023-02-27,2023-02-27,"Stella",17,"Queen",882,"Helper",NA,NA,NA,"NonBreeder",2022-08-16,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Early"
"FAM003","M",2014-12-15,"DaVinci",2022-04-04,2022-08-15,NA,2024-02-06,"Stella",17,"Queen",2667,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",133,NA,NA,NA,NA,NA,NA
"DRF004","F",2016-06-28,"Marabou",2023-02-03,2023-03-02,NA,2024-02-06,"Bitburger",18,"Queen",2411,"Breeder",2023-09-03,"BBT001",2023-06-07,"Breeder",2023-03-04,"Evictee","NotConceived","NotPregnant","Breeder","Evictee",27,2,97,95,185,183,"Early"
"MBF004","F",2020-11-14,"Marabou",2023-02-03,2023-03-02,NA,2024-02-06,"Bitburger",18,"Queen",811,"Helper",2023-07-14,"Bitburger",2023-04-17,"Breeder",2023-03-04,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",27,2,46,44,134,132,"Early"
"G10M034","M",2015-04-07,"Orycterope",2022-12-16,2023-03-02,NA,2024-02-06,"Bitburger",18,"Queen",2810,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",76,NA,NA,NA,NA,NA,NA
"GOF025","F",2018-07-31,"Amobo",2023-02-03,2023-03-02,NA,2024-02-06,"Corona",19,"Queen",1648,"Breeder",NA,NA,NA,"NonBreeder",2023-03-03,"Evictee","NotConceived",NA,"Breeder","Evictee",27,1,NA,NA,NA,NA,"Early"
"ABF002","F",2021-06-22,"Amobo",2023-02-03,2023-03-02,NA,2024-02-06,"Corona",19,"Queen",591,"Helper",2023-06-12,"Corona",2023-03-16,"Breeder",2023-03-03,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",27,1,14,13,102,101,"Early"
"MOM001","M",2015-06-13,"Marabou",2022-12-16,2023-03-02,NA,2024-02-06,"Corona",19,"Queen",2743,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",76,NA,NA,NA,NA,NA,NA
"DRM006","M",2016-12-02,"PlakaPlaka",2023-03-02,2023-03-02,2023-12-18,2023-12-18,"Firestone",10,"Sub",2281,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",0,NA,NA,NA,NA,NA,NA
"DRM006","M",2016-12-02,"Firestone",2023-03-02,2023-03-02,2023-12-18,2023-12-18,"Firestone",10,"Sub",2281,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",0,NA,NA,NA,NA,NA,NA
"MBF003","F",2020-06-09,"Marabou",2023-02-03,2023-03-02,NA,2024-02-06,"GhostShip",20,"Sub",969,"Helper",2023-06-05,"GhostShip",2023-03-09,"Breeder",2023-03-10,"Evictor","Conceived","FirstTrimester","Helper","Evictor",27,8,7,-1,95,87,"Early"
"MBF006","F",2021-03-19,"Marabou",2023-02-03,2023-03-02,NA,2024-02-06,"GhostShip",20,"Sub",686,"Helper",NA,NA,NA,"NonBreeder",2023-03-10,"Evictee","NotConceived",NA,"Helper","Evictee",27,8,NA,NA,NA,NA,"Early"
"GOM013","M",2017-01-12,"Goodall",2023-01-12,2023-03-02,2024-01-15,2024-01-15,"GhostShip",20,"Sub",2191,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",49,NA,NA,NA,NA,NA,NA
"ORF005","F",2020-02-10,"Orycterope",2023-02-03,2023-03-02,NA,2024-02-06,"Kasteel",13,"Sub",1089,"Helper",2023-06-12,"Kasteel",2023-03-16,"Breeder",2023-03-08,"Evictor","NotConceived","Conception","Helper","Evictor",27,6,14,8,102,96,"Early"
"ORF018","F",2021-05-26,"Orycterope",2023-02-03,2023-03-02,NA,2024-02-06,"Kasteel",13,"Sub",618,"Helper",NA,NA,NA,"NonBreeder",2023-03-08,"Evictee","NotConceived",NA,"Helper","Evictee",27,6,NA,NA,NA,NA,"Early"
"DRM006","M",2016-12-02,"PlakaPlaka",2023-03-02,2023-03-02,2023-12-18,2023-12-18,"Kasteel",13,"Sub",2281,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",0,NA,NA,NA,NA,NA,NA
"DRM006","M",2016-12-02,"Firestone",2023-03-02,2023-03-02,2023-12-18,2023-12-18,"Kasteel",13,"Sub",2281,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",0,NA,NA,NA,NA,NA,NA
"VGF002","F",2017-04-21,"Orycterope",2023-02-03,2023-03-02,2023-09-28,2023-09-28,"WicklowWolf",21,"Queen",2114,"Breeder",2023-06-04,"WicklowWolf",2023-03-08,"Breeder",2023-09-28,"Evictee","Conceived",NA,"Breeder","Evictee",27,210,6,-204,94,-116,"Late"
"ORF017","F",2020-12-15,"Orycterope",2023-02-03,2023-03-02,NA,2024-02-06,"WicklowWolf",21,"Queen",780,"Helper",NA,NA,NA,"NonBreeder",2023-09-28,"Evictor","NotConceived",NA,"Helper","Evictor",27,210,NA,NA,NA,NA,"Late"
"MAM022","M",2017-10-05,"Gemsbok 4",2022-12-28,2023-03-02,NA,2024-02-06,"WicklowWolf",21,"Queen",1910,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",64,NA,NA,NA,NA,NA,NA
"TIF025","F",2018-03-12,"Tinbergen",2023-04-07,2023-05-10,NA,2024-02-06,"Asahi",22,"Sub",1852,"Helper",NA,NA,NA,"NonBreeder",2023-05-10,"Evictee","NotConceived",NA,"Helper","Evictee",33,0,NA,NA,NA,NA,"Early"
"TIF039","F",2020-03-23,"Tinbergen",2023-04-07,2023-05-10,NA,2024-02-06,"Asahi",22,"Sub",1110,"Helper",2023-08-16,"Asahi",2023-05-20,"Breeder",2023-05-10,"Evictor","NotConceived","Conception","Helper","Evictor",33,0,10,10,98,98,"Early"
"CUM014","M",2016-01-04,"Erotics",2023-01-19,2023-05-10,NA,2024-02-06,"Asahi",22,"Sub",2572,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",111,NA,NA,NA,NA,NA,NA
"TIF036","F",2019-08-25,"Tinbergen",2023-04-07,2023-05-10,NA,2024-02-06,"Featherstone",23,"Sub",1321,"Helper",2023-08-15,"Featherstone",2023-05-19,"Breeder",2023-05-14,"Evictor","NotConceived","Conception","Helper","Evictor",33,4,9,5,97,93,"Early"
"TIF038","F",2020-03-23,"Tinbergen",2023-04-07,2023-05-10,NA,2024-02-06,"Featherstone",23,"Sub",1110,"Helper",NA,NA,NA,"NonBreeder",2023-05-14,"Evictee","NotConceived",NA,"Helper","Evictee",33,4,NA,NA,NA,NA,"Early"
"PNM006","M",2017-03-15,"Pangolin",2023-03-06,2023-05-10,NA,2024-02-06,"Featherstone",23,"Sub",2182,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",65,NA,NA,NA,NA,NA,NA
"KGF002","F",2016-11-01,"Erotics",2023-04-07,2023-05-10,NA,2024-02-06,"Leffe",24,"Queen",2348,"Breeder",2023-08-09,"Leffe",2023-05-13,"Breeder",2023-08-12,"Evictee","Conceived",NA,"Breeder","Evictee",33,94,3,-91,91,-3,"Late"
"ERF002","F",2020-12-29,"Erotics",2023-04-07,2023-05-10,NA,2024-02-06,"Leffe",24,"Queen",829,"Helper",2023-11-15,"Leffe",2023-08-19,"Breeder",2023-08-12,"Evictor","NotConceived","Conception","Helper","Evictor",33,94,101,7,189,95,"Late"
"MEM001","M",2015-02-17,"Mendel",2023-03-06,2023-05-10,2023-07-17,2023-07-17,"Leffe",24,"Queen",2939,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",65,NA,NA,NA,NA,NA,NA
"BEF006","F",2014-11-09,"Bennett",2023-04-07,2023-05-10,NA,2024-02-06,"Lion",25,"Sub",3071,"Helper",2023-08-14,"Lion",2023-05-18,"Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",33,NA,8,NA,96,NA,NA
"BEF036","F",2018-01-09,"Bennett",2023-04-07,2023-05-10,NA,2024-02-06,"Lion",25,"Sub",1914,"Helper",2023-11-07,"Lion",2023-08-11,"Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",33,NA,93,NA,181,NA,NA
"PNM028","M",2019-08-27,"Pangolin",2023-03-06,2023-05-10,NA,2024-02-06,"Lion",25,"Sub",1287,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",65,NA,NA,NA,NA,NA,NA
