"AnimalID","StartDate","Sex","BirthDate","PairingDate","ExperimentalGroup","OriginalGroup","IsolationDate","DeathDate","LastDate","ExperimentalUnit","Treatment","Age","BS_Original","FirstDCConceptionDate","FirstDCParturitionDate","FirstDCParturitionColony","BS_Final","EvictionDate","EvictionStatus","ConceptionCategory","Eviction_GS","BS_Original2","EvictionStatus2","IsolationPeriod","EvictionPairingDayDiff","FirstConceptionPairingDayDiff","FirstConceptionEvictionDayDiff","FirstParturitionPairingDayDiff","FirstParturitionEvictionDayDiff","Eviction_Cat","BS_PlotCategory","PartnerID","PartnerAge","AgeDiff","AgeDiff_Cat"
"WAF041",2022-03-31,"F",2020-02-21,2022-04-28,"BlueMoon","Watson",2022-03-31,2023-03-29,2023-03-29,6,"Sub",769,"Helper",2022-05-11,2022-08-04,"BlueMoon","Breeder",2022-05-01,"Evictor","NotConceived","Conception","Helper","Evictor",28,3,13,10,98,95,"Rapid","Sub_S","WAF045",570,199,"Older"
"WAF045",2022-03-31,"F",2020-09-07,2022-04-28,"BlueMoon","Watson",2022-03-31,2023-02-27,2023-02-27,6,"Sub",570,"Helper",NA,NA,NA,"NonBreeder",2022-05-01,"Evictee","NotConceived",NA,"Helper","Evictee",28,3,NA,NA,NA,NA,"Rapid","Sub_S","WAF041",769,-199,"Younger"
"WEF005",2022-03-31,"F",2016-04-22,2022-04-28,"Chouffe","PlakaPlaka",2022-03-31,2023-02-27,2023-02-27,7,"Queen",2169,"Breeder",NA,NA,NA,"NonBreeder",2022-04-29,"Evictee","NotConceived",NA,"Breeder","Evictee",28,1,NA,NA,NA,NA,"Rapid","Breeder","PPF008",740,1429,"Older"
"PPF008",2022-03-31,"F",2020-03-21,2022-04-28,"Chouffe","PlakaPlaka",2022-03-31,2023-05-08,2023-05-08,7,"Queen",740,"Helper",2022-06-23,2022-09-16,"Chouffe","Breeder",2022-04-29,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",28,1,56,55,141,140,"Rapid","Sub_Q","WEF005",2169,-1429,"Younger"
"PPF007",2022-03-31,"F",2020-03-21,2022-04-28,"Delirium","PlakaPlaka",2022-03-31,2023-04-05,2023-04-05,8,"Sub",740,"Helper",2022-05-13,2022-08-06,"Delirium","Breeder",2022-04-29,"Evictor","NotConceived","Conception","Helper","Evictor",28,1,15,14,100,99,"Rapid","Sub_S","PPF009",597,143,"Older"
"PPF009",2022-03-31,"F",2020-08-11,2022-04-28,"Delirium","PlakaPlaka",2022-03-31,2022-06-16,2022-06-16,8,"Sub",597,"Helper",NA,NA,NA,"NonBreeder",2022-04-29,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Rapid","Sub_S","PPF007",740,-143,"Younger"
"ARF028",2022-05-06,"F",2017-06-15,2022-06-03,"Corbeau","Shorny",2022-05-06,2023-01-17,2023-01-17,9,"Queen",1786,"Breeder",2022-06-16,2022-09-09,"Corbeau","Breeder",2023-01-16,"Evictee","Conceived",NA,"Breeder","Evictee",28,227,13,-214,98,-129,"Slow","Breeder","SOF001",818,968,"Older"
"SOF001",2022-05-06,"F",2020-02-08,2022-06-03,"Corbeau","Shorny",2022-05-06,NA,2024-03-14,9,"Queen",818,"Helper",2023-03-01,2023-05-25,"Corbeau","Breeder",2023-01-16,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",28,227,271,44,356,129,"Slow","Sub_Q","ARF028",1786,-968,"Younger"
"SOF002",2022-05-06,"F",2020-02-08,2022-06-03,"Firestone","Shorny",2022-05-06,2023-02-27,2023-02-27,10,"Sub",818,"Helper",NA,NA,NA,"NonBreeder",2022-06-07,"Evictee","NotConceived",NA,"Helper","Evictee",28,4,NA,NA,NA,NA,"Rapid","Sub_S","SOF006",661,157,"Older"
"SOF006",2022-05-06,"F",2020-07-14,2022-06-03,"Firestone","Shorny",2022-05-06,2022-12-20,2022-12-20,10,"Sub",661,"Helper",2022-09-25,2022-12-22,"Firestone","NonBreeder",2022-06-07,"Evictor","NotConceived","PreFirst","Helper","Evictor",28,4,114,110,202,198,"Rapid","Sub_S","SOF002",818,-157,"Younger"
"DRF015",2022-05-06,"F",2017-07-28,2022-06-03,"Guinness","Roms",2022-05-06,2023-05-10,2023-05-10,11,"Queen",1743,"Breeder",2022-07-09,2022-10-02,"Guinness","Breeder",2022-10-14,"Evictee","Conceived",NA,"Breeder","Evictee",28,133,36,-97,121,-12,"Slow","Breeder","RSF008",652,1091,"Older"
"RSF008",2022-05-06,"F",2020-07-23,2022-06-03,"Guinness","Roms",2022-05-06,2023-11-28,2023-11-28,11,"Queen",652,"Helper",2023-02-13,2023-05-09,"Guinness","Breeder",2022-10-14,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",28,133,255,122,340,207,"Slow","Sub_Q","DRF015",1743,-1091,"Younger"
"GOF035",2022-05-06,"F",2020-02-22,2022-06-03,"Hoodoo","Goodall",2022-05-06,2023-05-04,2023-05-04,12,"Sub",804,"Helper",2022-06-14,2022-09-07,"Hoodoo","Breeder",2022-06-08,"Evictor","NotConceived","Conception","Helper","Evictor",28,5,11,6,96,91,"Rapid","Sub_S","GOF040",574,230,"Older"
"GOF040",2022-05-06,"F",2020-10-09,2022-06-03,"Hoodoo","Goodall",2022-05-06,2023-02-27,2023-02-27,12,"Sub",574,"Helper",NA,NA,NA,"NonBreeder",2022-06-08,"Evictee","NotConceived",NA,"Helper","Evictee",28,5,NA,NA,NA,NA,"Rapid","Sub_S","GOF035",804,-230,"Younger"
"WAF002",2022-07-18,"F",2013-11-23,2022-08-15,"Angol","DaVinci",2022-07-18,2023-10-19,2023-10-19,13,"Queen",3159,"Breeder",2022-08-31,2022-11-24,"Angol","Breeder",2022-08-16,"Evictor","NotConceived","Conception","Breeder","Evictor",28,1,16,15,101,100,"Rapid","Breeder","DVF047",1314,1845,"Older"
"DVF047",2022-07-18,"F",2018-12-12,2022-08-15,"Angol","DaVinci",2022-07-18,2023-02-27,2023-02-27,13,"Queen",1314,"Helper",NA,NA,NA,"NonBreeder",2022-08-16,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Rapid","Sub_Q","WAF002",3159,-1845,"Younger"
"DVF048",2022-07-18,"F",2018-12-12,2022-08-15,"DevilsPeak","DaVinci",2022-07-18,2023-05-11,2023-05-11,14,"Sub",1314,"Helper",2022-09-17,2022-12-11,"DevilsPeak","Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",28,NA,33,NA,118,NA,"None","Sub_S","DVF061",899,415,"Older"
"DVF061",2022-07-18,"F",2020-01-31,2022-08-15,"DevilsPeak","DaVinci",2022-07-18,NA,2024-03-14,14,"Sub",899,"Helper",2023-08-06,2023-10-30,"DevilsPeak","Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",28,NA,356,NA,441,NA,"None","Sub_S","DVF048",1314,-415,"Younger"
"MIF012",2022-07-18,"F",2020-07-18,2022-08-15,"DjuDju","Milou",2022-07-18,2023-02-27,2023-02-27,15,"Sub",730,"Helper",NA,NA,NA,"NonBreeder",2022-08-16,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Rapid","Sub_S","MIF016",617,113,"Older"
"MIF016",2022-07-18,"F",2020-11-08,2022-08-15,"DjuDju","Milou",2022-07-18,2023-05-08,2023-05-08,15,"Sub",617,"Helper",2022-08-30,2022-11-23,"DjuDju","Breeder",2022-08-16,"Evictor","NotConceived","Conception","Helper","Evictor",28,1,15,14,100,99,"Rapid","Sub_S","MIF012",730,-113,"Younger"
"TSF048",2022-07-18,"F",2017-08-22,2022-08-15,"Stella","Milou",2022-07-18,NA,2024-03-14,16,"Queen",1791,"Breeder",2022-08-24,2022-11-17,"Stella","Breeder",2022-08-16,"Evictor","NotConceived","Conception","Breeder","Evictor",28,1,9,8,94,93,"Rapid","Breeder","MIF008",882,909,"Older"
"MIF008",2022-07-18,"F",2020-02-17,2022-08-15,"Stella","Milou",2022-07-18,2023-02-27,2023-02-27,16,"Queen",882,"Helper",NA,NA,NA,"NonBreeder",2022-08-16,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Rapid","Sub_Q","TSF048",1791,-909,"Younger"
"DRF004",2023-03-02,"F",2016-06-28,2023-03-02,"Bitburger","Marabou",2023-02-03,2024-02-21,2024-02-21,17,"Queen",2411,"Breeder",2023-06-10,2023-09-03,"BBT001","Breeder",2023-03-04,"Evictee","NotConceived","NotPregnant","Breeder","Evictee",27,2,100,98,185,183,"Rapid","Breeder","MBF004",811,1600,"Older"
"MBF004",2023-03-02,"F",2020-11-14,2023-03-02,"Bitburger","Marabou",2023-02-03,NA,2024-03-14,17,"Queen",811,"Helper",2023-04-20,2023-07-14,"Bitburger","Breeder",2023-03-04,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",27,2,49,47,134,132,"Rapid","Sub_Q","DRF004",2411,-1600,"Younger"
"GOF025",2023-03-02,"F",2018-07-31,2023-03-02,"Corona","Amobo",2023-02-03,2024-02-21,2024-02-21,18,"Queen",1648,"Breeder",NA,NA,NA,"NonBreeder",2023-03-03,"Evictee","NotConceived",NA,"Breeder","Evictee",27,1,NA,NA,NA,NA,"Rapid","Breeder","ABF002",591,1057,"Older"
"ABF002",2023-03-02,"F",2021-06-22,2023-03-02,"Corona","Amobo",2023-02-03,NA,2024-03-14,18,"Queen",591,"Helper",2023-03-19,2023-06-12,"Corona","Breeder",2023-03-03,"Evictor","NotConceived","Conception","Helper","Evictor",27,1,17,16,102,101,"Rapid","Sub_Q","GOF025",1648,-1057,"Younger"
"MBF003",2023-03-02,"F",2020-06-09,2023-03-02,"GhostShip","Marabou",2023-02-03,NA,2024-03-14,19,"Sub",969,"Helper",2023-03-12,2023-06-05,"GhostShip","Breeder",2023-03-10,"Evictor","NotConceived","Conception","Helper","Evictor",27,8,10,2,95,87,"Rapid","Sub_S","MBF006",686,283,"Older"
"MBF006",2023-03-02,"F",2021-03-19,2023-03-02,"GhostShip","Marabou",2023-02-03,2024-02-21,2024-02-21,19,"Sub",686,"Helper",NA,NA,NA,"NonBreeder",2023-03-10,"Evictee","NotConceived",NA,"Helper","Evictee",27,8,NA,NA,NA,NA,"Rapid","Sub_S","MBF003",969,-283,"Younger"
"ORF005",2023-03-02,"F",2020-02-10,2023-03-02,"Kasteel","Orycterope",2023-02-03,NA,2024-03-14,20,"Sub",1089,"Helper",2023-03-19,2023-06-12,"Kasteel","Breeder",2023-03-08,"Evictor","NotConceived","Conception","Helper","Evictor",27,6,17,11,102,96,"Rapid","Sub_S","ORF018",618,471,"Older"
"ORF018",2023-03-02,"F",2021-05-26,2023-03-02,"Kasteel","Orycterope",2023-02-03,2024-02-21,2024-02-21,20,"Sub",618,"Helper",NA,NA,NA,"NonBreeder",2023-03-08,"Evictee","NotConceived",NA,"Helper","Evictee",27,6,NA,NA,NA,NA,"Rapid","Sub_S","ORF005",1089,-471,"Younger"
"VGF002",2023-03-02,"F",2017-04-21,2023-03-02,"WicklowWolf","Orycterope",2023-02-03,2023-09-28,2023-09-28,21,"Queen",2114,"Breeder",2023-03-11,2023-06-04,"WicklowWolf","Breeder",2023-09-28,"Evictee","Conceived",NA,"Breeder","Evictee",27,210,9,-201,94,-116,"Slow","Breeder","ORF017",780,1334,"Older"
"ORF017",2023-03-02,"F",2020-12-15,2023-03-02,"WicklowWolf","Orycterope",2023-02-03,NA,2024-03-14,21,"Queen",780,"Helper",NA,NA,NA,"NonBreeder",2023-09-28,"Evictor","NotConceived",NA,"Helper","Evictor",27,210,NA,NA,NA,NA,"Slow","Sub_Q","VGF002",2114,-1334,"Younger"
"TIF025",2023-03-22,"F",2018-03-12,2023-05-10,"Asahi","Tinbergen",2023-04-07,2024-02-21,2024-02-21,22,"Sub",1852,"Helper",NA,NA,NA,"NonBreeder",2023-05-10,"Evictee","NotConceived",NA,"Helper","Evictee",33,0,NA,NA,NA,NA,"Rapid","Sub_S","TIF039",1110,742,"Older"
"TIF039",2023-03-22,"F",2020-03-23,2023-05-10,"Asahi","Tinbergen",2023-04-07,NA,2024-03-14,22,"Sub",1110,"Helper",2023-05-23,2023-08-16,"Asahi","Breeder",2023-05-10,"Evictor","NotConceived","Conception","Helper","Evictor",33,0,13,13,98,98,"Rapid","Sub_S","TIF025",1852,-742,"Younger"
"TIF036",2023-03-22,"F",2019-08-25,2023-05-10,"Featherstone","Tinbergen",2023-04-07,NA,2024-03-14,23,"Sub",1321,"Helper",2023-05-22,2023-08-15,"Featherstone","Breeder",2023-05-14,"Evictor","NotConceived","Conception","Helper","Evictor",33,4,12,8,97,93,"Rapid","Sub_S","TIF038",1110,211,"Older"
"TIF038",2023-03-22,"F",2020-03-23,2023-05-10,"Featherstone","Tinbergen",2023-04-07,2024-02-21,2024-02-21,23,"Sub",1110,"Helper",NA,NA,NA,"NonBreeder",2023-05-14,"Evictee","NotConceived",NA,"Helper","Evictee",33,4,NA,NA,NA,NA,"Rapid","Sub_S","TIF036",1321,-211,"Younger"
"KGF002",2023-01-31,"F",2016-11-01,2023-05-10,"Leffe","Erotics",2023-04-07,2024-02-21,2024-02-21,24,"Queen",2348,"Breeder",2023-05-16,2023-08-09,"Leffe","Breeder",2023-08-12,"Evictee","Conceived",NA,"Breeder","Evictee",33,94,6,-88,91,-3,"Slow","Breeder","ERF002",829,1519,"Older"
"ERF002",2023-03-23,"F",2020-12-29,2023-05-10,"Leffe","Erotics",2023-04-07,NA,2024-03-14,24,"Queen",829,"Helper",2023-08-22,2023-11-15,"Leffe","Breeder",2023-08-12,"Evictor","NotConceived","Conception","Helper","Evictor",33,94,104,10,189,95,"Slow","Sub_Q","KGF002",2348,-1519,"Younger"
"BEF006",2023-03-24,"F",2014-11-09,2023-05-10,"Lion","Bennett",2023-04-07,NA,2024-03-14,25,"Sub",3071,"Helper",2023-05-21,2023-08-14,"Lion","Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",33,NA,11,NA,96,NA,"None","Sub_S","BEF036",1914,1157,"Older"
"BEF036",2023-03-24,"F",2018-01-09,2023-05-10,"Lion","Bennett",2023-04-07,NA,2024-03-14,25,"Sub",1914,"Helper",2023-08-14,2023-11-07,"Lion","Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",33,NA,96,NA,181,NA,"None","Sub_S","BEF006",3071,-1157,"Younger"
