"AnimalID","Sex","BirthDate","OriginalGroup","IsolationDate","PairingDate","DeathDate","LastDate","ExperimentalGroup","ExperimentalUnit","Treatment","Age","BS_Original","FirstParturitionDate","ParturitionColony","ConceptionDate","BS_Final","EvictionDate","EvictionStatus","ConceptionCategory","Eviction_GS","BS_Original2","EvictionStatus2","IsolationPeriod","EvictionPairingDayDiff","ConceptionPairingDayDiff","ConceptionEvictionDayDiff","ParturitionPairingDayDiff","ParturitionEvictionDayDiff","EvictionCategory","BS_PlotCategory","PartnerID","PartnerAge","AgeDiff","AgeDiff_Cat"
"DRF004","F",2016-06-28,"Marabou",2023-02-03,2023-03-02,NA,2023-05-02,"Bitburger",18,"Queen",2411,"Breeder",NA,NA,NA,"NonBreeder",2023-03-04,"Evictee","NotConceived",NA,"Breeder","Evictee",27,2,NA,NA,NA,NA,"Early","Breeder","MBF004",811,1600,"Older"
"MBF004","F",2020-11-14,"Marabou",2023-02-03,2023-03-02,NA,2023-05-02,"Bitburger",18,"Queen",811,"Helper",NA,NA,NA,"NonBreeder",2023-03-04,"Evictor","NotConceived",NA,"Helper","Evictor",27,2,NA,NA,NA,NA,"Early","Sub_Q","DRF004",2411,-1600,"Younger"
"GOF025","F",2018-07-31,"Amobo",2023-02-03,2023-03-02,NA,2023-05-02,"Corona",19,"Queen",1648,"Breeder",NA,NA,NA,"NonBreeder",2023-03-03,"Evictee","NotConceived",NA,"Breeder","Evictee",27,1,NA,NA,NA,NA,"Early","Breeder","ABF002",591,1057,"Older"
"ABF002","F",2021-06-22,"Amobo",2023-02-03,2023-03-02,NA,2023-05-02,"Corona",19,"Queen",591,"Helper",NA,NA,NA,"NonBreeder",2023-03-03,"Evictor","NotConceived",NA,"Helper","Evictor",27,1,NA,NA,NA,NA,"Early","Sub_Q","GOF025",1648,-1057,"Younger"
"MBF003","F",2020-06-09,"Marabou",2023-02-03,2023-03-02,NA,2023-05-02,"GhostShip",20,"Sub",969,"Helper",NA,NA,NA,"NonBreeder",2023-03-10,"Evictor","NotConceived",NA,"Helper","Evictor",27,8,NA,NA,NA,NA,"Early","Sub_S","MBF006",686,283,"Older"
"MBF006","F",2021-03-19,"Marabou",2023-02-03,2023-03-02,NA,2023-05-02,"GhostShip",20,"Sub",686,"Helper",NA,NA,NA,"NonBreeder",2023-03-10,"Evictee","NotConceived",NA,"Helper","Evictee",27,8,NA,NA,NA,NA,"Early","Sub_S","MBF003",969,-283,"Younger"
"ORF005","F",2020-02-10,"Orycterope",2023-02-03,2023-03-02,NA,2023-05-02,"Kasteel",13,"Sub",1089,"Helper",NA,NA,NA,"NonBreeder",2023-03-08,"Evictor","NotConceived",NA,"Helper","Evictor",27,6,NA,NA,NA,NA,"Early","Sub_S","ORF018",618,471,"Older"
"ORF018","F",2021-05-26,"Orycterope",2023-02-03,2023-03-02,NA,2023-05-02,"Kasteel",13,"Sub",618,"Helper",NA,NA,NA,"NonBreeder",2023-03-08,"Evictee","NotConceived",NA,"Helper","Evictee",27,6,NA,NA,NA,NA,"Early","Sub_S","ORF005",1089,-471,"Younger"
"VGF002","F",2017-04-21,"Orycterope",2023-02-03,2023-03-02,NA,2023-05-02,"WicklowWolf",21,"Queen",2114,"Breeder",NA,NA,NA,"NonBreeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",27,NA,NA,NA,NA,NA,NA,"Breeder","ORF017",780,1334,"Older"
"ORF017","F",2020-12-15,"Orycterope",2023-02-03,2023-03-02,NA,2023-05-02,"WicklowWolf",21,"Queen",780,"Helper",NA,NA,NA,"NonBreeder",NA,"InGroup","NotConceived",NA,"Helper","InGroup",27,NA,NA,NA,NA,NA,NA,"Sub_Q","VGF002",2114,-1334,"Younger"
