"AnimalID","Sex","BirthDate","OriginalGroup","IsolationDate","PairingDate","DeathDate","LastDate","ExperimentalGroup","ExperimentalUnit","Treatment","Age","BS_Original","FirstDCParturitionDate","ParturitionColony","ConceptionDate","BS_Final","EvictionDate","EvictionStatus","ConceptionCategory","Eviction_GS","BS_Original2","EvictionStatus2","IsolationPeriod","EvictionPairingDayDiff","ConceptionPairingDayDiff","ConceptionEvictionDayDiff","ParturitionPairingDayDiff","ParturitionEvictionDayDiff","Eviction_Cat","BS_PlotCategory","PartnerID","PartnerAge","AgeDiff","AgeDiff_Cat"
"WAF041","F",2020-02-21,"Watson",2022-03-31,2022-04-28,2023-03-29,2023-03-29,"BlueMoon",6,"Sub",769,"Helper",2022-08-04,"BlueMoon",2022-05-08,"Breeder",2022-05-01,"Evictor","NotConceived","Conception","Helper","Evictor",28,3,10,7,98,95,"Rapid","Sub_S","WAF045",570,199,"Older"
"WAF045","F",2020-09-07,"Watson",2022-03-31,2022-04-28,2023-02-27,2023-02-27,"BlueMoon",6,"Sub",570,"Helper",NA,NA,NA,"NonBreeder",2022-05-01,"Evictee","NotConceived",NA,"Helper","Evictee",28,3,NA,NA,NA,NA,"Rapid","Sub_S","WAF041",769,-199,"Younger"
"WEF005","F",2016-04-22,"PlakaPlaka",2022-03-31,2022-04-28,2023-02-27,2023-02-27,"Chouffe",7,"Queen",2169,"Breeder",NA,NA,NA,"NonBreeder",2022-04-29,"Evictee","NotConceived",NA,"Breeder","Evictee",28,1,NA,NA,NA,NA,"Rapid","Breeder","PPF008",740,1429,"Older"
"PPF008","F",2020-03-21,"PlakaPlaka",2022-03-31,2022-04-28,2023-05-08,2023-05-08,"Chouffe",7,"Queen",740,"Helper",2022-09-16,"Chouffe",2022-06-20,"Breeder",2022-04-29,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",28,1,53,52,141,140,"Rapid","Sub_Q","WEF005",2169,-1429,"Younger"
"PPF007","F",2020-03-21,"PlakaPlaka",2022-03-31,2022-04-28,2023-04-05,2023-04-05,"Delirium",8,"Sub",740,"Helper",2022-08-06,"Delirium",2022-05-10,"Breeder",2022-04-29,"Evictor","NotConceived","Conception","Helper","Evictor",28,1,12,11,100,99,"Rapid","Sub_S","PPF009",597,143,"Older"
"PPF009","F",2020-08-11,"PlakaPlaka",2022-03-31,2022-04-28,2022-06-16,2022-06-16,"Delirium",8,"Sub",597,"Helper",NA,NA,NA,"NonBreeder",2022-04-29,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Rapid","Sub_S","PPF007",740,-143,"Younger"
"ARF028","F",2017-06-15,"Shorny",2022-05-06,2022-06-03,2023-01-17,2023-01-17,"Corbeau",9,"Queen",1786,"Breeder",2022-09-09,"Corbeau",2022-06-13,"Breeder",2023-01-16,"Evictee","Conceived",NA,"Breeder","Evictee",28,227,10,-217,98,-129,"Slow","Breeder","SOF001",818,968,"Older"
"SOF001","F",2020-02-08,"Shorny",2022-05-06,2022-06-03,NA,2024-02-12,"Corbeau",9,"Queen",818,"Helper",2023-05-25,"Corbeau",2023-02-26,"Breeder",2023-01-16,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",28,227,268,41,356,129,"Slow","Sub_Q","ARF028",1786,-968,"Younger"
"SOF002","F",2020-02-08,"Shorny",2022-05-06,2022-06-03,2023-02-27,2023-02-27,"Firestone",10,"Sub",818,"Helper",NA,NA,NA,"NonBreeder",2022-06-07,"Evictee","NotConceived",NA,"Helper","Evictee",28,4,NA,NA,NA,NA,"Rapid","Sub_S","SOF006",661,157,"Older"
"SOF006","F",2020-07-14,"Shorny",2022-05-06,2022-06-03,2022-12-20,2022-12-20,"Firestone",10,"Sub",661,"Helper",NA,NA,NA,"NonBreeder",2022-06-07,"Evictor","NotConceived",NA,"Helper","Evictor",28,4,NA,NA,NA,NA,"Rapid","Sub_S","SOF002",818,-157,"Younger"
"DRF015","F",2017-07-28,"Roms",2022-05-06,2022-06-03,2023-05-10,2023-05-10,"Guinness",11,"Queen",1743,"Breeder",2022-10-02,"Guinness",2022-07-06,"Breeder",2022-10-14,"Evictee","Conceived",NA,"Breeder","Evictee",28,133,33,-100,121,-12,"Slow","Breeder","RSF008",652,1091,"Older"
"RSF008","F",2020-07-23,"Roms",2022-05-06,2022-06-03,2023-11-28,2023-11-28,"Guinness",11,"Queen",652,"Helper",2023-05-09,"Guinness",2023-02-10,"Breeder",2022-10-14,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",28,133,252,119,340,207,"Slow","Sub_Q","DRF015",1743,-1091,"Younger"
"GOF035","F",2020-02-22,"Goodall",2022-05-06,2022-06-03,2023-05-04,2023-05-04,"Hoodoo",12,"Sub",804,"Helper",2022-09-07,"Hoodoo",2022-06-11,"Breeder",2022-06-08,"Evictor","NotConceived","Conception","Helper","Evictor",28,5,8,3,96,91,"Rapid","Sub_S","GOF040",574,230,"Older"
"GOF040","F",2020-10-09,"Goodall",2022-05-06,2022-06-03,2023-02-27,2023-02-27,"Hoodoo",12,"Sub",574,"Helper",NA,NA,NA,"NonBreeder",2022-06-08,"Evictee","NotConceived",NA,"Helper","Evictee",28,5,NA,NA,NA,NA,"Rapid","Sub_S","GOF035",804,-230,"Younger"
"WAF002","F",2013-11-23,"DaVinci",2022-07-18,2022-08-15,2023-10-19,2023-10-19,"Angol",14,"Queen",3159,"Breeder",2022-11-24,"Angol",2022-08-28,"Breeder",2022-08-16,"Evictor","NotConceived","Conception","Breeder","Evictor",28,1,13,12,101,100,"Rapid","Breeder","DVF047",1314,1845,"Older"
"DVF047","F",2018-12-12,"DaVinci",2022-07-18,2022-08-15,2023-02-27,2023-02-27,"Angol",14,"Queen",1314,"Helper",NA,NA,NA,"NonBreeder",2022-08-16,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Rapid","Sub_Q","WAF002",3159,-1845,"Younger"
"DVF048","F",2018-12-12,"DaVinci",2022-07-18,2022-08-15,2023-05-11,2023-05-11,"DevilsPeak",15,"Sub",1314,"Helper",2022-12-11,"DevilsPeak",2022-09-14,"Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",28,NA,30,NA,118,NA,"None","Sub_S","DVF061",899,415,"Older"
"DVF061","F",2020-01-31,"DaVinci",2022-07-18,2022-08-15,NA,2024-02-12,"DevilsPeak",15,"Sub",899,"Helper",2023-10-30,"DevilsPeak",2023-08-03,"Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",28,NA,353,NA,441,NA,"None","Sub_S","DVF048",1314,-415,"Younger"
"MIF012","F",2020-07-18,"Milou",2022-07-18,2022-08-15,2023-02-27,2023-02-27,"DjuDju",16,"Sub",730,"Helper",NA,NA,NA,"NonBreeder",2022-08-16,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Rapid","Sub_S","MIF016",617,113,"Older"
"MIF016","F",2020-11-08,"Milou",2022-07-18,2022-08-15,2023-05-08,2023-05-08,"DjuDju",16,"Sub",617,"Helper",2022-11-23,"DjuDju",2022-08-27,"Breeder",2022-08-16,"Evictor","NotConceived","Conception","Helper","Evictor",28,1,12,11,100,99,"Rapid","Sub_S","MIF012",730,-113,"Younger"
"TSF048","F",2017-08-22,"Milou",2022-07-18,2022-08-15,NA,2024-02-12,"Stella",17,"Queen",1791,"Breeder",2022-11-17,"Stella",2022-08-21,"Breeder",2022-08-16,"Evictor","NotConceived","Conception","Breeder","Evictor",28,1,6,5,94,93,"Rapid","Breeder","MIF008",882,909,"Older"
"MIF008","F",2020-02-17,"Milou",2022-07-18,2022-08-15,2023-02-27,2023-02-27,"Stella",17,"Queen",882,"Helper",NA,NA,NA,"NonBreeder",2022-08-16,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Rapid","Sub_Q","TSF048",1791,-909,"Younger"
"DRF004","F",2016-06-28,"Marabou",2023-02-03,2023-03-02,NA,2024-02-12,"Bitburger",18,"Queen",2411,"Breeder",2023-09-03,"BBT001",2023-06-07,"Breeder",2023-03-04,"Evictee","NotConceived","NotPregnant","Breeder","Evictee",27,2,97,95,185,183,"Rapid","Breeder","MBF004",811,1600,"Older"
"MBF004","F",2020-11-14,"Marabou",2023-02-03,2023-03-02,NA,2024-02-12,"Bitburger",18,"Queen",811,"Helper",2023-07-14,"Bitburger",2023-04-17,"Breeder",2023-03-04,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",27,2,46,44,134,132,"Rapid","Sub_Q","DRF004",2411,-1600,"Younger"
"GOF025","F",2018-07-31,"Amobo",2023-02-03,2023-03-02,NA,2024-02-12,"Corona",19,"Queen",1648,"Breeder",NA,NA,NA,"NonBreeder",2023-03-03,"Evictee","NotConceived",NA,"Breeder","Evictee",27,1,NA,NA,NA,NA,"Rapid","Breeder","ABF002",591,1057,"Older"
"ABF002","F",2021-06-22,"Amobo",2023-02-03,2023-03-02,NA,2024-02-12,"Corona",19,"Queen",591,"Helper",2023-06-12,"Corona",2023-03-16,"Breeder",2023-03-03,"Evictor","NotConceived","Conception","Helper","Evictor",27,1,14,13,102,101,"Rapid","Sub_Q","GOF025",1648,-1057,"Younger"
"MBF003","F",2020-06-09,"Marabou",2023-02-03,2023-03-02,NA,2024-02-12,"GhostShip",20,"Sub",969,"Helper",2023-06-05,"GhostShip",2023-03-09,"Breeder",2023-03-10,"Evictor","Conceived","Conception","Helper","Evictor",27,8,7,-1,95,87,"Rapid","Sub_S","MBF006",686,283,"Older"
"MBF006","F",2021-03-19,"Marabou",2023-02-03,2023-03-02,NA,2024-02-12,"GhostShip",20,"Sub",686,"Helper",NA,NA,NA,"NonBreeder",2023-03-10,"Evictee","NotConceived",NA,"Helper","Evictee",27,8,NA,NA,NA,NA,"Rapid","Sub_S","MBF003",969,-283,"Younger"
"ORF005","F",2020-02-10,"Orycterope",2023-02-03,2023-03-02,NA,2024-02-12,"Kasteel",13,"Sub",1089,"Helper",2023-06-12,"Kasteel",2023-03-16,"Breeder",2023-03-08,"Evictor","NotConceived","Conception","Helper","Evictor",27,6,14,8,102,96,"Rapid","Sub_S","ORF018",618,471,"Older"
"ORF018","F",2021-05-26,"Orycterope",2023-02-03,2023-03-02,NA,2024-02-12,"Kasteel",13,"Sub",618,"Helper",NA,NA,NA,"NonBreeder",2023-03-08,"Evictee","NotConceived",NA,"Helper","Evictee",27,6,NA,NA,NA,NA,"Rapid","Sub_S","ORF005",1089,-471,"Younger"
"VGF002","F",2017-04-21,"Orycterope",2023-02-03,2023-03-02,2023-09-28,2023-09-28,"WicklowWolf",21,"Queen",2114,"Breeder",2023-06-04,"WicklowWolf",2023-03-08,"Breeder",2023-09-28,"Evictee","Conceived",NA,"Breeder","Evictee",27,210,6,-204,94,-116,"Slow","Breeder","ORF017",780,1334,"Older"
"ORF017","F",2020-12-15,"Orycterope",2023-02-03,2023-03-02,NA,2024-02-12,"WicklowWolf",21,"Queen",780,"Helper",NA,NA,NA,"NonBreeder",2023-09-28,"Evictor","NotConceived",NA,"Helper","Evictor",27,210,NA,NA,NA,NA,"Slow","Sub_Q","VGF002",2114,-1334,"Younger"
"TIF025","F",2018-03-12,"Tinbergen",2023-04-07,2023-05-10,NA,2024-02-12,"Asahi",22,"Sub",1852,"Helper",NA,NA,NA,"NonBreeder",2023-05-10,"Evictee","NotConceived",NA,"Helper","Evictee",33,0,NA,NA,NA,NA,"Rapid","Sub_S","TIF039",1110,742,"Older"
"TIF039","F",2020-03-23,"Tinbergen",2023-04-07,2023-05-10,NA,2024-02-12,"Asahi",22,"Sub",1110,"Helper",2023-08-16,"Asahi",2023-05-20,"Breeder",2023-05-10,"Evictor","NotConceived","Conception","Helper","Evictor",33,0,10,10,98,98,"Rapid","Sub_S","TIF025",1852,-742,"Younger"
"TIF036","F",2019-08-25,"Tinbergen",2023-04-07,2023-05-10,NA,2024-02-12,"Featherstone",23,"Sub",1321,"Helper",2023-08-15,"Featherstone",2023-05-19,"Breeder",2023-05-14,"Evictor","NotConceived","Conception","Helper","Evictor",33,4,9,5,97,93,"Rapid","Sub_S","TIF038",1110,211,"Older"
"TIF038","F",2020-03-23,"Tinbergen",2023-04-07,2023-05-10,NA,2024-02-12,"Featherstone",23,"Sub",1110,"Helper",NA,NA,NA,"NonBreeder",2023-05-14,"Evictee","NotConceived",NA,"Helper","Evictee",33,4,NA,NA,NA,NA,"Rapid","Sub_S","TIF036",1321,-211,"Younger"
"KGF002","F",2016-11-01,"Erotics",2023-04-07,2023-05-10,NA,2024-02-12,"Leffe",24,"Queen",2348,"Breeder",2023-08-09,"Leffe",2023-05-13,"Breeder",2023-08-12,"Evictee","Conceived",NA,"Breeder","Evictee",33,94,3,-91,91,-3,"Slow","Breeder","ERF002",829,1519,"Older"
"ERF002","F",2020-12-29,"Erotics",2023-04-07,2023-05-10,NA,2024-02-12,"Leffe",24,"Queen",829,"Helper",2023-11-15,"Leffe",2023-08-19,"Breeder",2023-08-12,"Evictor","NotConceived","Conception","Helper","Evictor",33,94,101,7,189,95,"Slow","Sub_Q","KGF002",2348,-1519,"Younger"
"BEF006","F",2014-11-09,"Bennett",2023-04-07,2023-05-10,NA,2024-02-12,"Lion",25,"Sub",3071,"Helper",2023-08-14,"Lion",2023-05-18,"Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",33,NA,8,NA,96,NA,"None","Sub_S","BEF036",1914,1157,"Older"
"BEF036","F",2018-01-09,"Bennett",2023-04-07,2023-05-10,NA,2024-02-12,"Lion",25,"Sub",1914,"Helper",2023-11-07,"Lion",2023-08-11,"Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",33,NA,93,NA,181,NA,"None","Sub_S","BEF006",3071,-1157,"Younger"
